,자재,기말 재고 수량,기말 재고 금액,자재 내역,특별 재고,저장 위치,배치,단가,유효기간,남은일,유효기한구간,3평판,_mat_key,원가율,대분류,소분류,평판 * 1.38배,출하원가,출하판가,판가,who,26_1,26_2,26_3,26_4,26_5,26_6,26_7,26_8,26_9,26_10,26_11,26_12,27_1,27_2,27_3,27_4,27_5,27_6,27_7,27_8,27_9,27_10,27_11,27_12,28_1,28_2,28_3,28_4,28_5,28_6,28_7,28_8,28_9,28_10,28_11,28_12,부진재고량,부진재고진입시점,부진재고진입분기,회전월
13,2302650,303,590850,[판촉물_부자재]이지듀명절용멜라3-스텝스페셜세트(싸바리),,5000,,1950,,,미상,0,2302650,1.9171254770429087,세트포장재,세트포장재,342.92999999999995,668713.4999999999,348810.5019768786,308195.7895167942,자사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8835622430233577
14,2302671,4029,785655,[EA]스킨부스터나이아신토닝샷앰플1ml*7ea_슬리브,,5000,,195,2099-12-31,,미상,0,2302671,1.9171254770429087,세트포장재,세트포장재,0,0,0,409808.85675351945,자사,785655,785655,785655,785655,785655,785655,785655,785655,785655,785655,785655,785655,785655,785655,785655,785655,785655,785655,785655,785655,785655,785655,785655,785655,785655,785655,785655,785655,785655,785655,785655,785655,785655,785655,785655,785655,0,0,0,0
15,2302672,4214,821730,[EA]스킨부스터피디알엔리프팅샷앰플1ml*7ea_슬리브,,5000,,195,2099-12-31,,미상,0,2302672,1.9171254770429087,세트포장재,세트포장재,0,0,0,428626.0914269871,자사,821730,821730,821730,821730,821730,821730,821730,821730,821730,821730,821730,821730,821730,821730,821730,821730,821730,821730,821730,821730,821730,821730,821730,821730,821730,821730,821730,821730,821730,821730,821730,821730,821730,821730,821730,821730,0,0,0,0
16,2302673,4750,926250,[EA]스킨부스터엑소좀포어샷앰플1ml*7ea_슬리브,,5000,,195,2099-12-31,,미상,0,2302673,1.9171254770429087,세트포장재,세트포장재,0,0,0,483145.21458903386,자사,926250,926250,926250,926250,926250,926250,926250,926250,926250,926250,926250,926250,926250,926250,926250,926250,926250,926250,926250,926250,926250,926250,926250,926250,926250,926250,926250,926250,926250,926250,926250,926250,926250,926250,926250,926250,0,0,0,0
17,2302674,4721,920595,[EA]스킨부스터히알루론글로우샷앰플1ml*7ea_슬리브,,5000,,195,2099-12-31,,미상,0,2302674,1.9171254770429087,세트포장재,세트포장재,0,0,0,480195.4859104903,자사,920595,920595,920595,920595,920595,920595,920595,920595,920595,920595,920595,920595,920595,920595,920595,920595,920595,920595,920595,920595,920595,920595,920595,920595,920595,920595,920595,920595,920595,920595,920595,920595,920595,920595,920595,920595,0,0,0,0
18,2302708,644,244720,이지듀스킨부스터엠티에스앰플3.5g_POP단상자,,5000,,380,,,미상,0,2302708,1.9171254770429087,세트포장재,세트포장재,74.658,28370.04,14798.217612631011,127649.44336218986,자사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.62600123228589
19,2302909,1615,234175,[판촉물_부자재]이지듀 베리어크림30G_슬리브,W,5000,,145,,,미상,0,2302909,1.9171254770429087,세트포장재,세트포장재,38.364,5562.78,2901.6254108627104,122149.02091917626,자사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.09675737670733
20,2302911,105,442647,[판촉물_부자재]멜라토닝 VIP 고급 대관세트(2025)_싸바리,,5000,,4215.685714285714,,,미상,0,2302911,1.9171254770429087,세트포장재,세트포장재,106.25999999999999,447958.76399999997,233661.68222382548,230890.9903397485,자사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9881422924901186
21,2302912,105,66912,[판촉물_부자재]멜라토닝 VIP 고급 대관세트(2025)_패드,,5000,,637.2571428571429,,,미상,0,2302912,1.9171254770429087,세트포장재,세트포장재,106.25999999999999,67714.94399999999,35321.08086344335,34902.253817631776,자사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9881422924901188
22,2302963,960,328835,[판촉물_부자재]멜라 3-스텝 올인원 스페셜세트(패드)_옐로우,,5000,,342.5364583333333,,,미상,0,2302963,1.9171254770429087,세트포장재,세트포장재,136.896,46891.87099999999,24459.46890880031,171525.0274109419,자사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.012622720897617
