창고코드,자재코드,자재명,배치,SAP재고,WMS재고,차이
5000.0,2303490.0,이지듀디더블유이지에프크림프레좀알엑스50ML_용기덧방라벨,0,0,1000,-1000.0
5000.0,2303493.0,이지듀클리어라하바디미스트100ML_단상자,0,0,1000,-1000.0
5000.0,2303494.0,이지듀디더블유이지에프멜라토닝원데이앰플1ML*7ea_단상자,0,0,1000,-1000.0
5000.0,2303495.0,이지듀디더블유이지에프멜라토닝원데이앰플1ML_단상자,0,0,1000,-1000.0
5000.0,2303499.0,이지듀멜라글루타치온크림105ML_단상자,0,0,1000,-1000.0
5000.0,2303500.0,이지듀디더블유이지에프와이드(프로텍션)패치4G_단상자,0,0,1000,-1000.0
5000.0,2303512.0,이지듀멜라에이레티노0.03프로크림1ML_단상자,0,0,1000,-1000.0
5000.0,2303513.0,이지듀멜라에이레티노0.03프로크림30ML_단상자,0,0,1000,-1000.0
5000.0,2303514.0,이지듀멜라에이레티노0.3프로트리트먼트1ML_단상자,0,0,1000,-1000.0
5000.0,2303515.0,이지듀베리어리페어클렌저150ML_단상자,0,0,1000,-1000.0
5000.0,2303516.0,이지듀베리어리페어크림30G_단상자,0,0,1000,-1000.0
5000.0,2303517.0,이지듀베리어리페어크림50ML_단상자,0,0,1000,-1000.0
5000.0,2303518.0,이지듀베리어리페어크림105ML_단상자,0,0,1000,-1000.0
5000.0,2303519.0,이지듀베리어리페어마스크25G(*4매입)_단상자,0,0,1000,-1000.0
5000.0,2303520.0,이지듀베리어리페어토너200ML_단상자,0,0,1000,-1000.0
5000.0,2303521.0,이지듀베리어리페어미스트60ML_단상자,0,0,1000,-1000.0
5000.0,2303524.0,이지듀디더블유이지에프크림프레좀알엑스50ML_단상자,0,0,1000,-1000.0
5000.0,2303830.0,[부자재]기미팩트세트(본품3+리필3+퍼프3)_단상자(공용),251230,0,943,-943.0
5000.0,2303778.0,[부자재]이지듀명절용멜라3-스텝스페셜세트(싸바리)_v2,0,0,933,-933.0
5000.0,2400000.0,[세트포장재]앰플쿠션_22호_면세기획세트(본품+리필2)39g_단상자,0,0,930,-930.0
5000.0,2303815.0,[부자재]기미쿠션레드에디션_19호페어_봉합라벨(26년설),260107,0,900,-900.0
5000.0,9312350.0,"이지듀디더블유이지에프멜라토닝원데이앰플부스터샷15ML(리필,HS)？",BJA,0,897,-897.0
5000.0,2303477.0,이지듀멜라토닝멜라씨비타에센스토너150ML_용기덧방라벨,0,0,860,-860.0
5000.0,2303511.0,이지듀멜라토닝멜라씨비타에센스토너150ML_단상자,0,0,860,-860.0
5000.0,2303811.0,[부자재]글로우팩트(FW)레드에디션_19호페어_봉합라벨(26년설),260107,0,800,-800.0
5000.0,2303812.0,[부자재]글로우팩트(FW)레드에디션_23호베이지_봉합라벨(26년설),260107,0,800,-800.0
5000.0,2302173.0,[판촉물부자재]이지듀스페셜기프트세트_세트케이스(리본/2024설),,0,780,-780.0
5000.0,2400079.0,[OY]앰플쿠션21호(본품1+리필1+퍼프2매)13g기획_세트단상자,0,0,780,-780.0
5000.0,2303476.0,이지듀멜라토닝멜라씨비타에센스토너30ML_용기덧방라벨,0,0,750,-750.0
5000.0,2303510.0,이지듀멜라토닝멜라씨비타에센스토너30ML_단상자,0,0,750,-750.0
5000.0,2302961.0,[판촉물_부자재]멜라토닝 에센셜 CBA 3종 VIP세트(패드)_옐로우,,0,687,-687.0
5000.0,2303867.0,[부자재]부스터샷6입(본품3+리필3)세트_슬리브(26신년),251230,0,680,-680.0
5000.0,2303868.0,[부자재]부스터샷6입(본품3+리필3)세트_패드(26신년),251230,0,680,-680.0
5000.0,2303825.0,[부자재]부스터샷6입(본품3+리필3)세트_하판(26신년),251230,0,610,-610.0
5000.0,2400083.0,[OY]토닝앰플쿠션(본품1+리필1+퍼프2매)13g기획_아웃박스(공용),0,0,482,-482.0
5000.0,2400078.0,[OY]앰플쿠션19호(본품1+리필1+퍼프2매)13g기획_세트단상자,0,0,480,-480.0
5000.0,2400080.0,[OY]앰플쿠션22호(본품1+리필1+퍼프2매)13g기획_세트단상자,0,0,480,-480.0
5000.0,2400081.0,[OY]앰플쿠션23호(본품1+리필1+퍼프2매)13g기획_세트단상자,0,0,480,-480.0
5000.0,7302250.0,[판촉물]이지듀여행용파우치그린,0,0,480,-480.0
5000.0,9309930.0,한가인 VIP 고급 대관세트 (기미앰플+항산화+쿠션)_2025년설,24F017,0,471,-471.0
5000.0,2303816.0,[부자재]기미쿠션레드에디션_22호라이트베이지_봉합라벨(26년설),260107,0,400,-400.0
5000.0,9309833.0,[세트]이지듀 베리어리페어크림+앰플기획(크림50ML+앰플1ML),0,0,390,-390.0
5000.0,9313776.0,멜라_토닝원데이앰플_15ml(인도네시아)_V2,BEA,0,379,-379.0
5000.0,2303584.0,[추석세트]이지듀쿠션앤앰플기프트세트21호내추럴_싸바리(상단+포밍+하단),20250917,0,346,-346.0
5000.0,7301915.0,[EA]그린코스메틱파우치,0,0,332,-332.0
5000.0,7302435.0,앰플쿠션13g내추럴어워즈한정기획(2025)(+8g미니어처쿠션)_단상자,20251119,0,327,-327.0
5000.0,2302916.0,[판촉물_부자재] 멜라토닝 더블업 크림+앰플 기획세트(패드)_25년설,,0,250,-250.0
5000.0,9313775.0,멜라_비타앰플클렌저_30ml(인도네시아)_V2,QE05,0,250,-250.0
5000.0,9313773.0,멜라_비타앰플클렌저_200ml(인도네시아)_V2,RG01,0,240,-240.0
